schedule_date,schedule_season,schedule_week,team_home,home_id,score_home,score_away,team_away,away_id,team_favorite,favorite_id,spread_favorite,over_under_line,winner,cover,over,stadium,weather_temperature,weather_wind_mph,weather_detail
09/03/2000,2000,1,Bills,4,16,13,Titans,30,Bills,4,-1,40,4,1,0,Ralph Wilson Stadium,70,7,
09/03/2000,2000,1,Browns,6,7,27,Jaguars,17,Jaguars,17,-10.5,38.5,17,1,0,FirstEnergy Stadium,75,8,
09/03/2000,2000,1,Chiefs,10,14,27,Colts,11,Colts,11,-3.5,44,11,1,0,Arrowhead Stadium,86,9,
09/03/2000,2000,1,Cowboys,12,14,41,Eagles,14,Cowboys,12,-6,39.5,14,0,1,Texas Stadium,95,7,
09/03/2000,2000,1,Dolphins,13,23,0,Seahawks,27,Dolphins,13,-2,36,13,1,0,Sun Life Stadium,84,9,
09/03/2000,2000,1,Falcons,15,36,28,49ers,1,Falcons,15,-6.5,46.5,15,1,1,Georgia Dome,72,0,DOME
09/03/2000,2000,1,Giants,16,21,16,Cardinals,8,Giants,16,-6.5,40,16,0,0,Giants Stadium,78,7,
09/03/2000,2000,1,Packers,20,16,20,Jets,18,Packers,20,-2.5,44,18,0,0,Lambeau Field,69,13,
09/03/2000,2000,1,Patriots,22,16,21,Buccaneers,7,Buccaneers,7,-3,36,7,1,1,Foxboro Stadium,63,8,
09/03/2000,2000,1,Raiders,23,9,6,Chargers,9,Raiders,23,-6.5,39.5,23,0,0,Oakland Coliseum,60,12,
09/03/2000,2000,1,Saints,26,10,14,Lions,19,PICK,0,0,40.5,19,0,0,Louisiana Superdome,72,0,DOME
09/03/2000,2000,1,Steelers,28,0,16,Ravens,25,Ravens,25,-2.5,37,25,1,0,Three Rivers Stadium,73,5,
09/03/2000,2000,1,Vikings,31,30,27,Bears,2,Vikings,31,-4.5,46.5,31,0,1,Hubert H. Humphrey Metrodome,72,0,DOME
09/03/2000,2000,1,Washington,32,20,17,Panthers,21,Washington,32,-10.5,47.5,32,0,0,FedEx Field,76,7,
09/04/2000,2000,1,Rams,24,41,36,Broncos,5,Rams,24,-6.5,48.5,24,0,1,Edward Jones Dome,72,0,DOME
09/10/2000,2000,2,49ers,2,22,38,Panthers,21,Panthers,21,-3,48,21,1,1,Candlestick Park,59,11,
09/10/2000,2000,2,Bengals,3,7,24,Browns,6,Bengals,3,-6,40.5,6,0,0,Paul Brown Stadium,74,7,
09/10/2000,2000,2,Bills,4,27,18,Packers,20,Bills,4,-6,38.5,4,1,1,Ralph Wilson Stadium,73,7,
09/10/2000,2000,2,Broncos,5,42,14,Falcons,15,Broncos,5,-4.5,47,5,1,1,Mile High Stadium,71,10,
09/10/2000,2000,2,Buccaneers,7,41,0,Bears,2,Buccaneers,7,-7,36.5,7,1,1,Raymond James Stadium,82,9,
09/10/2000,2000,2,Cardinals,8,32,31,Cowboys,12,Cardinals,8,-3,38.5,8,0,1,University of Phoenix Stadium,92,5,
09/10/2000,2000,2,Chargers,9,27,28,Saints,26,Chargers,9,-5.5,35.5,26,0,1,Qualcomm Stadium,67,7,
09/10/2000,2000,2,Colts,11,31,38,Raiders,23,Colts,11,-6.5,44,23,0,1,RCA Dome,72,0,DOME
09/10/2000,2000,2,Eagles,14,18,33,Giants,16,Eagles,14,-3,39.5,16,0,1,Veterans Stadium,74,7,
09/10/2000,2000,2,Lions,19,15,10,Washington,32,Washington,32,-5.5,43,19,0,0,Pontiac Silverdome,72,0,DOME
09/10/2000,2000,2,Ravens,25,39,36,Jaguars,17,Ravens,25,-3,36.5,25,0,1,M&T Bank Stadium,74,4,
09/10/2000,2000,2,Seahawks,27,34,37,Rams,24,Rams,24,-7.5,46,24,0,1,Husky Stadium,56,8,
09/10/2000,2000,2,Titans,30,17,14,Chiefs,10,Titans,30,-8.5,38.5,30,0,0,Nissan Stadium,78,8,
09/10/2000,2000,2,Vikings,31,13,7,Dolphins,13,Vikings,31,-3,42.5,31,1,0,Hubert H. Humphrey Metrodome,72,0,DOME
09/11/2000,2000,2,Jets,18,20,19,Patriots,22,Jets,18,-6.5,39.5,18,0,0,Giants Stadium,73,9,
09/17/2000,2000,3,Bears,2,7,14,Giants,16,Bears,2,-2,42,16,0,0,Soldier Field,64,10,
09/17/2000,2000,3,Browns,6,23,20,Steelers,28,Steelers,28,-2.5,35.5,6,0,1,FirstEnergy Stadium,57,14,
09/17/2000,2000,3,Chiefs,10,42,10,Chargers,9,Chiefs,10,-4.5,35.5,10,1,1,Arrowhead Stadium,69,9,
09/17/2000,2000,3,Dolphins,13,19,6,Ravens,25,Ravens,25,-1.5,34.5,13,0,0,Sun Life Stadium,83,16,
09/17/2000,2000,3,Jaguars,17,13,0,Bengals,3,Jaguars,17,-13,41,17,0,0,EverBank Field,74,12,
09/17/2000,2000,3,Jets,18,27,14,Bills,4,Jets,18,-1,38.5,18,1,1,Giants Stadium,63,13,
09/17/2000,2000,3,Lions,19,10,31,Buccaneers,7,Buccaneers,7,-3,34.5,7,1,1,Pontiac Silverdome,72,0,DOME
09/17/2000,2000,3,Packers,20,6,3,Eagles,14,Packers,20,-4,42.5,20,0,0,Lambeau Field,60,9,
09/17/2000,2000,3,Panthers,21,10,15,Falcons,15,Panthers,21,-6,48.5,15,0,0,Bank of America Stadium,59,8,
09/17/2000,2000,3,Patriots,22,13,21,Vikings,31,Patriots,22,-1.5,42.5,31,0,0,Foxboro Stadium,59,16,
09/17/2000,2000,3,Raiders,23,24,33,Broncos,5,Raiders,23,-3,44,5,0,1,Oakland Coliseum,68,8,
09/17/2000,2000,3,Rams,24,41,24,49ers,1,Rams,24,-17,55.5,24,0,1,Edward Jones Dome,72,0,DOME
09/17/2000,2000,3,Seahawks,27,20,10,Saints,26,Seahawks,27,-6,40,27,1,0,Husky Stadium,62,5,
09/18/2000,2000,3,Washington,32,21,27,Cowboys,12,Washington,32,-10.5,44,12,0,1,FedEx Field,63,8,
09/24/2000,2000,4,Bears,2,14,21,Lions,19,Bears,2,-1,37.5,19,0,0,Soldier Field,54,12,
09/24/2000,2000,4,Broncos,5,22,23,Chiefs,10,Broncos,5,-7,43,10,0,1,Mile High Stadium,33,11,
09/24/2000,2000,4,Buccaneers,7,17,21,Jets,18,Buccaneers,7,-7,36,18,0,1,Raymond James Stadium,82,6,
09/24/2000,2000,4,Cardinals,8,3,29,Packers,20,Cardinals,8,-1,42,20,0,0,University of Phoenix Stadium,80,6,
09/24/2000,2000,4,Chargers,9,12,20,Seahawks,27,Seahawks,27,-2.5,36,27,1,0,Qualcomm Stadium,68,8,
09/24/2000,2000,4,Cowboys,12,24,41,49ers,1,Cowboys,12,-6.5,47,1,0,1,Texas Stadium,72,15,
09/24/2000,2000,4,Dolphins,13,10,3,Patriots,22,Dolphins,13,-4.5,34.5,13,1,0,Sun Life Stadium,84,9,
09/24/2000,2000,4,Falcons,15,20,41,Rams,24,Rams,24,-6.5,55,24,1,1,Georgia Dome,72,0,DOME
09/24/2000,2000,4,Giants,16,6,16,Washington,32,Giants,16,-1,42,32,0,0,Giants Stadium,71,11,
09/24/2000,2000,4,Raiders,23,36,10,Browns,6,Raiders,23,-10.5,40.5,23,1,1,Oakland Coliseum,62,8,
09/24/2000,2000,4,Ravens,25,37,0,Bengals,3,Ravens,25,-11.5,38,25,1,0,M&T Bank Stadium,70,6,
09/24/2000,2000,4,Saints,26,7,21,Eagles,14,Saints,26,-1.5,38,14,0,0,Louisiana Superdome,72,0,DOME
09/24/2000,2000,4,Steelers,28,20,23,Titans,30,Titans,30,-7,36,30,0,1,Three Rivers Stadium,62,11,
09/25/2000,2000,4,Colts,11,43,14,Jaguars,17,Colts,11,-3.5,45,11,1,1,RCA Dome,72,0,DOME
10/01/2000,2000,5,49ers,1,27,20,Cardinals,8,49ers,1,-3.5,47.5,1,1,0,Candlestick Park,65,13,
10/01/2000,2000,5,Bengals,3,16,31,Dolphins,13,Dolphins,13,-7,33,13,1,1,Paul Brown Stadium,62,6,
10/01/2000,2000,5,Bills,4,16,18,Colts,11,Bills,4,-1.5,44,11,0,0,Ralph Wilson Stadium,60,9,
10/01/2000,2000,5,Broncos,5,19,28,Patriots,22,Broncos,5,-8.5,41,22,0,1,Mile High Stadium,69,12,
10/01/2000,2000,5,Browns,6,0,12,Ravens,25,Ravens,25,-8.5,37,25,1,0,FirstEnergy Stadium,62,12,
10/01/2000,2000,5,Eagles,14,38,10,Falcons,15,Eagles,14,-3,41.5,14,1,1,Veterans Stadium,60,3,
10/01/2000,2000,5,Jaguars,17,13,24,Steelers,28,Jaguars,17,-11,38.5,28,0,0,EverBank Field,73,17,
10/01/2000,2000,5,Lions,19,24,31,Vikings,31,Lions,19,-1,42.5,31,0,1,Pontiac Silverdome,72,0,DOME
10/01/2000,2000,5,Packers,20,24,27,Bears,2,Packers,20,-5.5,41,2,0,1,Lambeau Field,64,13,
10/01/2000,2000,5,Panthers,21,13,16,Cowboys,12,Panthers,21,-6.5,47.5,12,0,0,Bank of America Stadium,63,10,
10/01/2000,2000,5,Rams,24,57,31,Chargers,9,Rams,24,-17,53.5,24,1,1,Edward Jones Dome,72,0,DOME
10/01/2000,2000,5,Titans,30,28,14,Giants,16,Titans,30,-5,38,30,1,1,Nissan Stadium,66,6,
10/01/2000,2000,5,Washington,32,20,17,Buccaneers,7,Washington,32,-1.5,36,32,1,1,FedEx Field,60,5,
10/02/2000,2000,5,Chiefs,10,24,17,Seahawks,27,Chiefs,10,-4,38.5,10,1,1,Arrowhead Stadium,74,13,
10/08/2000,2000,6,49ers,1,28,34,Raiders,23,Raiders,23,-4.5,48.5,23,1,1,Candlestick Park,58,14,
10/08/2000,2000,6,Bears,2,10,31,Saints,26,Bears,2,-5.5,40,26,0,1,Soldier Field,39,18,
10/08/2000,2000,6,Bengals,3,14,23,Titans,30,Titans,30,-10,38,30,0,0,Paul Brown Stadium,38,10,
10/08/2000,2000,6,Cardinals,8,29,21,Browns,6,Cardinals,8,-4.5,40.5,8,1,1,University of Phoenix Stadium,85,12,
10/08/2000,2000,6,Chargers,9,7,21,Broncos,5,Broncos,5,-6.5,43,5,1,0,Qualcomm Stadium,68,8,
10/08/2000,2000,6,Dolphins,13,22,13,Bills,4,Dolphins,13,-2,34.5,13,1,1,Sun Life Stadium,82,6,
10/08/2000,2000,6,Eagles,14,14,17,Washington,32,Washington,32,-3.5,37.5,32,0,0,Veterans Stadium,48,12,
10/08/2000,2000,6,Falcons,15,6,13,Giants,16,Falcons,15,-1,42,16,0,0,Georgia Dome,72,0,DOME
10/08/2000,2000,6,Jaguars,17,10,15,Ravens,25,Jaguars,17,-2.5,37.5,25,0,0,EverBank Field,71,12,
10/08/2000,2000,6,Jets,18,3,20,Steelers,28,Jets,18,-8,37.5,28,0,0,Giants Stadium,50,15,
10/08/2000,2000,6,Lions,19,31,24,Packers,20,Lions,19,-3,43,19,1,1,Pontiac Silverdome,72,0,DOME
10/08/2000,2000,6,Panthers,21,26,3,Seahawks,27,Panthers,21,-3.5,43,21,1,0,Bank of America Stadium,50,13,
10/08/2000,2000,6,Patriots,22,24,16,Colts,11,Colts,11,-3.5,43.5,22,0,0,Foxboro Stadium,50,14,
10/09/2000,2000,6,Vikings,31,30,23,Buccaneers,7,Vikings,31,-1,39,31,1,1,Hubert H. Humphrey Metrodome,72,0,DOME
10/15/2000,2000,7,Bears,2,16,28,Vikings,31,Vikings,31,-6,44,31,1,0,Soldier Field,60,9,
10/15/2000,2000,7,Bills,4,27,24,Chargers,9,Bills,4,-10,36.5,4,0,1,Ralph Wilson Stadium,60,8,
10/15/2000,2000,7,Broncos,5,44,10,Browns,6,Broncos,5,-12.5,44,5,1,1,Mile High Stadium,47,8,
10/15/2000,2000,7,Cardinals,8,14,33,Eagles,14,Eagles,14,-2.5,39,14,1,1,University of Phoenix Stadium,71,4,
10/15/2000,2000,7,Chiefs,10,17,20,Raiders,23,Chiefs,10,-3,43.5,23,0,0,Arrowhead Stadium,60,9,
10/15/2000,2000,7,Giants,16,19,14,Cowboys,12,Giants,16,-4,40.5,16,1,0,Giants Stadium,72,8,
10/15/2000,2000,7,Packers,20,31,28,49ers,1,Packers,20,-4.5,49.5,20,0,1,Lambeau Field,51,10,
10/15/2000,2000,7,Patriots,22,17,34,Jets,18,Patriots,22,-3,37,18,0,1,Foxboro Stadium,67,14,
10/15/2000,2000,7,Rams,24,45,29,Falcons,15,Rams,24,-18,58.5,24,0,1,Edward Jones Dome,72,0,DOME
10/15/2000,2000,7,Saints,26,24,6,Panthers,21,PICK,0,0,40.5,26,0,0,Louisiana Superdome,72,0,DOME
10/15/2000,2000,7,Seahawks,27,24,37,Colts,11,Colts,11,-5.5,44,11,1,1,Husky Stadium,46,5,
10/15/2000,2000,7,Steelers,28,15,0,Bengals,3,Steelers,28,-8.5,37,28,1,0,Three Rivers Stadium,60,6,
10/15/2000,2000,7,Washington,32,10,3,Ravens,25,Washington,32,-3.5,34.5,32,1,0,FedEx Field,64,7,
10/16/2000,2000,7,Titans,30,27,13,Jaguars,17,Titans,30,-6,38,30,1,1,Nissan Stadium,67,3,
10/19/2000,2000,8,Buccaneers,7,14,28,Lions,19,Buccaneers,7,-8,37.5,19,0,1,Raymond James Stadium,72,4,
10/22/2000,2000,8,Bengals,3,31,21,Broncos,5,Broncos,5,-10,43,3,0,1,Paul Brown Stadium,64,4,
10/22/2000,2000,8,Chiefs,10,54,34,Rams,24,Rams,24,-7,56,10,0,1,Arrowhead Stadium,62,13,
10/22/2000,2000,8,Colts,11,30,23,Patriots,22,Colts,11,-8.5,47,11,0,1,RCA Dome,72,0,DOME
10/22/2000,2000,8,Cowboys,12,48,7,Cardinals,8,Cowboys,12,-7,41.5,12,1,1,Texas Stadium,68,16,
10/22/2000,2000,8,Eagles,14,13,9,Bears,2,Eagles,14,-6.5,41,14,0,0,Veterans Stadium,60,9,
10/22/2000,2000,8,Falcons,15,19,21,Saints,26,Saints,26,-1.5,40,26,1,0,Georgia Dome,72,0,DOME
10/22/2000,2000,8,Jaguars,17,16,35,Washington,32,Washington,32,-4,36,32,1,1,EverBank Field,72,10,
10/22/2000,2000,8,Panthers,21,34,16,49ers,1,Panthers,21,-3,50,21,1,0,Bank of America Stadium,65,6,
10/22/2000,2000,8,Raiders,23,31,3,Seahawks,27,Raiders,23,-7.5,44,23,1,0,Oakland Coliseum,66,26,
10/22/2000,2000,8,Ravens,25,6,14,Titans,30,Ravens,25,-1,35,30,0,0,M&T Bank Stadium,60,8,
10/22/2000,2000,8,Steelers,28,22,0,Browns,6,Steelers,28,-9,37.5,28,1,0,Three Rivers Stadium,59,5,
10/22/2000,2000,8,Vikings,31,31,27,Bills,4,Vikings,31,-6.5,44.5,31,0,1,Hubert H. Humphrey Metrodome,72,0,DOME
10/23/2000,2000,8,Jets,18,40,37,Dolphins,13,Jets,18,-3,35,18,0,1,Giants Stadium,53,10,
10/29/2000,2000,9,49ers,1,24,34,Rams,24,Rams,24,-7,63,24,1,0,Candlestick Park,56,9,
10/29/2000,2000,9,Bills,4,23,20,Jets,18,Bills,4,-3.5,41,4,0,1,Ralph Wilson Stadium,39,11,
10/29/2000,2000,9,Browns,6,3,12,Bengals,3,Bengals,3,-3,35.5,3,1,0,FirstEnergy Stadium,41,7,
10/29/2000,2000,9,Buccaneers,7,41,13,Vikings,31,Buccaneers,7,-3,41,7,1,1,Raymond James Stadium,72,5,
10/29/2000,2000,9,Cardinals,8,10,21,Saints,26,Saints,26,-6,41,26,1,0,University of Phoenix Stadium,62,6,
10/29/2000,2000,9,Chargers,9,13,15,Raiders,23,Raiders,23,-6.5,42.5,23,0,0,Qualcomm Stadium,62,6,
10/29/2000,2000,9,Colts,11,30,18,Lions,19,Colts,11,-7,47,11,1,1,RCA Dome,72,0,DOME
10/29/2000,2000,9,Cowboys,12,17,23,Jaguars,17,Cowboys,12,-4,44.5,17,0,0,Texas Stadium,69,12,
10/29/2000,2000,9,Dolphins,13,28,20,Packers,20,Dolphins,13,-4.5,38.5,13,1,1,Sun Life Stadium,75,8,
10/29/2000,2000,9,Falcons,15,13,12,Panthers,21,Panthers,21,-3,45.5,15,0,0,Georgia Dome,72,0,DOME
10/29/2000,2000,9,Giants,16,24,7,Eagles,14,Giants,16,-3.5,37,16,1,0,Giants Stadium,43,19,
10/29/2000,2000,9,Ravens,25,6,9,Steelers,28,Ravens,25,-4.5,33,28,0,0,M&T Bank Stadium,47,12,
10/29/2000,2000,9,Seahawks,27,19,24,Chiefs,10,Chiefs,10,-4,43,10,1,0,Husky Stadium,51,8,
10/30/2000,2000,9,Washington,32,21,27,Titans,30,Washington,32,-4,37.5,30,0,1,FedEx Field,52,14,
11/05/2000,2000,10,Bears,2,27,24,Colts,11,Colts,11,-7,45,2,0,1,Soldier Field,46,8,
11/05/2000,2000,10,Bengals,3,7,27,Ravens,25,Ravens,25,-6,32.5,25,1,1,Paul Brown Stadium,44,7,
11/05/2000,2000,10,Browns,6,3,24,Giants,16,Giants,16,-10,33.5,16,1,0,FirstEnergy Stadium,45,7,
11/05/2000,2000,10,Cardinals,8,16,15,Washington,32,Washington,32,-10,40,8,0,0,University of Phoenix Stadium,59,7,
11/05/2000,2000,10,Eagles,14,16,13,Cowboys,12,Eagles,14,-3,40,14,0,0,Veterans Stadium,51,14,
11/05/2000,2000,10,Falcons,15,14,27,Buccaneers,7,Buccaneers,7,-7,40,7,1,1,Georgia Dome,72,0,DOME
11/05/2000,2000,10,Jets,18,23,30,Broncos,5,Jets,18,-3,45.5,5,0,1,Giants Stadium,52,20,
11/05/2000,2000,10,Lions,19,8,23,Dolphins,13,Lions,19,-2.5,39,13,0,0,Pontiac Silverdome,72,0,DOME
11/05/2000,2000,10,Patriots,22,13,16,Bills,4,Patriots,22,-2,39,4,0,0,Foxboro Stadium,46,12,
11/05/2000,2000,10,Raiders,23,49,31,Chiefs,10,Raiders,23,-3.5,44,23,1,1,Oakland Coliseum,56,10,
11/05/2000,2000,10,Rams,24,24,27,Panthers,21,Rams,24,-13.5,59.5,21,0,0,Edward Jones Dome,72,0,DOME
11/05/2000,2000,10,Saints,26,31,15,49ers,1,Saints,26,-5.5,48,26,1,0,Louisiana Superdome,72,0,DOME
11/05/2000,2000,10,Seahawks,27,17,15,Chargers,9,Seahawks,27,-4.5,39.5,27,0,0,Husky Stadium,47,11,
11/05/2000,2000,10,Titans,30,9,7,Steelers,28,Titans,30,-8,36.5,30,0,0,Nissan Stadium,54,8,
11/06/2000,2000,10,Packers,20,26,20,Vikings,31,Vikings,31,-3.5,47.5,20,0,0,Lambeau Field,49,17,
11/12/2000,2000,11,49ers,1,21,7,Chiefs,10,Chiefs,10,-3.5,52,1,0,0,Candlestick Park,48,8,
11/12/2000,2000,11,Bills,4,20,3,Bears,2,Bills,4,-7,39.5,4,1,0,Ralph Wilson Stadium,39,11,
11/12/2000,2000,11,Browns,6,19,11,Patriots,22,Patriots,22,-7,32,6,0,0,FirstEnergy Stadium,43,10,
11/12/2000,2000,11,Buccaneers,7,20,15,Packers,20,Buccaneers,7,-9,42,7,0,0,Raymond James Stadium,64,5,
11/12/2000,2000,11,Chargers,9,7,17,Dolphins,13,Dolphins,13,-5,33.5,13,1,0,Qualcomm Stadium,54,7,
11/12/2000,2000,11,Colts,11,23,15,Jets,18,Colts,11,-6,52.5,11,1,0,RCA Dome,72,0,DOME
11/12/2000,2000,11,Cowboys,12,23,6,Bengals,3,Cowboys,12,-8.5,39,12,1,0,Texas Stadium,48,12,
11/12/2000,2000,11,Giants,16,24,38,Rams,24,Rams,24,-2,48.5,24,1,1,Giants Stadium,50,15,
11/12/2000,2000,11,Jaguars,17,21,28,Seahawks,27,Jaguars,17,-7.5,40.5,27,0,1,EverBank Field,62,5,
11/12/2000,2000,11,Lions,19,13,10,Falcons,15,Lions,19,-8.5,40,19,0,0,Pontiac Silverdome,72,0,DOME
11/12/2000,2000,11,Panthers,21,10,20,Saints,26,Saints,26,-2,37.5,26,1,0,Bank of America Stadium,50,5,
11/12/2000,2000,11,Steelers,28,23,26,Eagles,14,Steelers,28,-3.5,33,14,0,1,Three Rivers Stadium,41,8,
11/12/2000,2000,11,Titans,30,23,24,Ravens,25,Titans,30,-4,33,25,0,1,Nissan Stadium,46,4,
11/12/2000,2000,11,Vikings,31,31,14,Cardinals,8,Vikings,31,-12.5,46,31,1,0,Hubert H. Humphrey Metrodome,72,0,DOME
11/13/2000,2000,11,Broncos,5,27,24,Raiders,23,Broncos,5,-3,50,5,0,1,Mile High Stadium,14,11,
11/19/2000,2000,12,49ers,1,16,6,Falcons,15,49ers,1,-5.5,47.5,1,1,0,Candlestick Park,51,6,
11/19/2000,2000,12,Bears,2,13,10,Buccaneers,7,Buccaneers,7,-8,36,2,0,0,Soldier Field,30,13,
11/19/2000,2000,12,Broncos,5,38,37,Chargers,9,Broncos,5,-9.5,42.5,5,0,1,Mile High Stadium,28,11,
11/19/2000,2000,12,Chiefs,10,17,21,Bills,4,Chiefs,10,-3,42,4,0,0,Arrowhead Stadium,36,16,
11/19/2000,2000,12,Dolphins,13,3,20,Jets,18,Dolphins,13,-3.5,38.5,18,0,0,Sun Life Stadium,78,9,
11/19/2000,2000,12,Eagles,14,34,9,Cardinals,8,Eagles,14,-7,38,14,1,1,Veterans Stadium,38,9,
11/19/2000,2000,12,Giants,16,21,31,Lions,19,Giants,16,-5,36.5,19,0,1,Giants Stadium,40,11,
11/19/2000,2000,12,Packers,20,26,24,Colts,11,Colts,11,-6,46,20,0,1,Lambeau Field,26,10,
11/19/2000,2000,12,Patriots,22,16,13,Bengals,3,Patriots,22,-7,36,22,0,0,Foxboro Stadium,40,9,
11/19/2000,2000,12,Ravens,25,27,0,Cowboys,12,Ravens,25,-7,36,25,1,0,M&T Bank Stadium,36,6,
11/19/2000,2000,12,Saints,26,22,31,Raiders,23,Raiders,23,-3,43,23,1,1,Louisiana Superdome,72,0,DOME
11/19/2000,2000,12,Steelers,28,24,34,Jaguars,17,Steelers,28,-3,37,17,0,1,Three Rivers Stadium,31,9,
11/19/2000,2000,12,Titans,30,24,10,Browns,6,Titans,30,-16,35.5,30,0,0,Nissan Stadium,38,6,
11/19/2000,2000,12,Vikings,31,31,17,Panthers,21,Vikings,31,-9.5,46.5,31,1,1,Hubert H. Humphrey Metrodome,72,0,DOME
11/20/2000,2000,12,Rams,24,20,33,Washington,32,Rams,24,-5.5,56,32,0,0,Edward Jones Dome,72,0,DOME
11/23/2000,2000,13,Cowboys,12,15,27,Vikings,31,Vikings,31,-7,48,31,1,0,Texas Stadium,53,9,
11/23/2000,2000,13,Lions,19,34,9,Patriots,22,Lions,19,-6.5,38,19,1,1,Pontiac Silverdome,72,0,DOME
11/26/2000,2000,13,Bengals,3,28,48,Steelers,28,Steelers,28,-4,34,28,1,1,Paul Brown Stadium,44,11,
11/26/2000,2000,13,Buccaneers,7,31,17,Bills,4,Buccaneers,7,-4,37,7,1,1,Raymond James Stadium,67,6,
11/26/2000,2000,13,Cardinals,8,7,31,Giants,16,Giants,16,-6,39,16,1,0,University of Phoenix Stadium,57,5,
11/26/2000,2000,13,Chargers,9,17,16,Chiefs,10,Chiefs,10,-3,41,9,0,0,Qualcomm Stadium,56,5,
11/26/2000,2000,13,Colts,11,14,17,Dolphins,13,Colts,11,-5.5,44.5,13,0,0,RCA Dome,72,0,DOME
11/26/2000,2000,13,Jaguars,17,16,13,Titans,30,Titans,30,-3,41.5,17,0,0,EverBank Field,60,7,
11/26/2000,2000,13,Jets,18,17,10,Bears,2,Jets,18,-7,39.5,18,0,0,Giants Stadium,46,18,
11/26/2000,2000,13,Raiders,23,41,14,Falcons,15,Raiders,23,-11,44,23,1,1,Oakland Coliseum,48,6,
11/26/2000,2000,13,Rams,24,24,31,Saints,26,Rams,24,-13.5,53.5,26,0,1,Edward Jones Dome,72,0,DOME
11/26/2000,2000,13,Ravens,25,44,7,Browns,6,Ravens,25,-15,34,25,1,1,M&T Bank Stadium,50,13,
11/26/2000,2000,13,Seahawks,27,31,38,Broncos,5,Broncos,5,-3,45.5,5,1,1,Husky Stadium,45,11,
11/26/2000,2000,13,Washington,32,20,23,Eagles,14,Washington,32,-7,37,14,0,1,FedEx Field,50,10,
11/27/2000,2000,13,Panthers,21,31,14,Packers,20,PICK,0,0,44,21,0,1,Bank of America Stadium,47,6,
11/30/2000,2000,14,Vikings,31,24,17,Lions,19,Vikings,31,-9,48.5,31,0,0,Hubert H. Humphrey Metrodome,72,0,DOME
12/03/2000,2000,14,Bears,2,6,28,Packers,20,Packers,20,-2.5,39,20,1,0,Soldier Field,30,8,
12/03/2000,2000,14,Bengals,3,24,13,Cardinals,8,Bengals,3,-4,38.5,3,1,0,Paul Brown Stadium,28,15,
12/03/2000,2000,14,Bills,4,6,33,Dolphins,13,Bills,4,-3.5,36,13,0,1,Ralph Wilson Stadium,21,6,
12/03/2000,2000,14,Buccaneers,7,27,7,Cowboys,12,Buccaneers,7,-10,37,7,1,0,Raymond James Stadium,59,9,
12/03/2000,2000,14,Chargers,9,17,45,49ers,1,49ers,1,-2.5,44,1,1,1,Qualcomm Stadium,54,6,
12/03/2000,2000,14,Eagles,14,13,15,Titans,30,Titans,30,-3,36.5,30,0,0,Veterans Stadium,28,11,
12/03/2000,2000,14,Falcons,15,10,30,Seahawks,27,PICK,0,0,42,27,0,0,Georgia Dome,72,0,DOME
12/03/2000,2000,14,Jaguars,17,48,0,Browns,6,Jaguars,17,-14.5,39,17,1,1,EverBank Field,49,15,
12/03/2000,2000,14,Jets,18,27,17,Colts,11,Jets,18,-2.5,44,18,1,0,Giants Stadium,29,10,
12/03/2000,2000,14,Panthers,21,16,3,Rams,24,Rams,24,-8,58,21,0,0,Bank of America Stadium,35,13,
12/03/2000,2000,14,Saints,26,23,38,Broncos,5,PICK,0,0,45,5,0,1,Louisiana Superdome,72,0,DOME
12/03/2000,2000,14,Steelers,28,21,20,Raiders,23,Raiders,23,-3,42,28,0,0,Three Rivers Stadium,23,8,
