schedule_season,schedule_week,home_id,score_home,score_away,away_id,favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,winner,cover,over
2000,1,4,16,13,30,4,-1,40,70,7,4,1,0
2000,1,6,7,27,17,17,-10.5,38.5,75,8,17,1,0
2000,1,10,14,27,11,11,-3.5,44,86,9,11,1,0
2000,1,12,14,41,14,12,-6,39.5,95,7,14,0,1
2000,1,13,23,0,27,13,-2,36,84,9,13,1,0
2000,1,15,36,28,1,15,-6.5,46.5,72,0,15,1,1
2000,1,16,21,16,8,16,-6.5,40,78,7,16,0,0
2000,1,20,16,20,18,20,-2.5,44,69,13,18,0,0
2000,1,22,16,21,7,7,-3,36,63,8,7,1,1
2000,1,23,9,6,9,23,-6.5,39.5,60,12,23,0,0
2000,1,26,10,14,19,0,0,40.5,72,0,19,0,0
2000,1,28,0,16,25,25,-2.5,37,73,5,25,1,0
2000,1,31,30,27,2,31,-4.5,46.5,72,0,31,0,1
2000,1,32,20,17,21,32,-10.5,47.5,76,7,32,0,0
2000,1,24,41,36,5,24,-6.5,48.5,72,0,24,0,1
2000,2,2,22,38,21,21,-3,48,59,11,21,1,1
2000,2,3,7,24,6,3,-6,40.5,74,7,6,0,0
2000,2,4,27,18,20,4,-6,38.5,73,7,4,1,1
2000,2,5,42,14,15,5,-4.5,47,71,10,5,1,1
2000,2,7,41,0,2,7,-7,36.5,82,9,7,1,1
2000,2,8,32,31,12,8,-3,38.5,92,5,8,0,1
2000,2,9,27,28,26,9,-5.5,35.5,67,7,26,0,1
2000,2,11,31,38,23,11,-6.5,44,72,0,23,0,1
2000,2,14,18,33,16,14,-3,39.5,74,7,16,0,1
2000,2,19,15,10,32,32,-5.5,43,72,0,19,0,0
2000,2,25,39,36,17,25,-3,36.5,74,4,25,0,1
2000,2,27,34,37,24,24,-7.5,46,56,8,24,0,1
2000,2,30,17,14,10,30,-8.5,38.5,78,8,30,0,0
2000,2,31,13,7,13,31,-3,42.5,72,0,31,1,0
2000,2,18,20,19,22,18,-6.5,39.5,73,9,18,0,0
2000,3,2,7,14,16,2,-2,42,64,10,16,0,0
2000,3,6,23,20,28,28,-2.5,35.5,57,14,6,0,1
2000,3,10,42,10,9,10,-4.5,35.5,69,9,10,1,1
2000,3,13,19,6,25,25,-1.5,34.5,83,16,13,0,0
2000,3,17,13,0,3,17,-13,41,74,12,17,0,0
2000,3,18,27,14,4,18,-1,38.5,63,13,18,1,1
2000,3,19,10,31,7,7,-3,34.5,72,0,7,1,1
2000,3,20,6,3,14,20,-4,42.5,60,9,20,0,0
2000,3,21,10,15,15,21,-6,48.5,59,8,15,0,0
2000,3,22,13,21,31,22,-1.5,42.5,59,16,31,0,0
2000,3,23,24,33,5,23,-3,44,68,8,5,0,1
2000,3,24,41,24,1,24,-17,55.5,72,0,24,0,1
2000,3,27,20,10,26,27,-6,40,62,5,27,1,0
2000,3,32,21,27,12,32,-10.5,44,63,8,12,0,1
2000,4,2,14,21,19,2,-1,37.5,54,12,19,0,0
2000,4,5,22,23,10,5,-7,43,33,11,10,0,1
2000,4,7,17,21,18,7,-7,36,82,6,18,0,1
2000,4,8,3,29,20,8,-1,42,80,6,20,0,0
2000,4,9,12,20,27,27,-2.5,36,68,8,27,1,0
2000,4,12,24,41,1,12,-6.5,47,72,15,1,0,1
2000,4,13,10,3,22,13,-4.5,34.5,84,9,13,1,0
2000,4,15,20,41,24,24,-6.5,55,72,0,24,1,1
2000,4,16,6,16,32,16,-1,42,71,11,32,0,0
2000,4,23,36,10,6,23,-10.5,40.5,62,8,23,1,1
2000,4,25,37,0,3,25,-11.5,38,70,6,25,1,0
2000,4,26,7,21,14,26,-1.5,38,72,0,14,0,0
2000,4,28,20,23,30,30,-7,36,62,11,30,0,1
2000,4,11,43,14,17,11,-3.5,45,72,0,11,1,1
